"","lon","lat","adr"
"Confiserie Roodthooft",51.2061333,4.4171094,"Confiserie Roodthooft nv, Lange Leemstraat, Antwerp, Belgium"
"Delhaize Group1",50.8537047,4.3162044,"Delhaize Wineworld, Rue Osseghem, Sint-Jans-Molenbeek, Belgium"
"Delhaize Group2",36.0940174,-79.7512033,"Delhaize Group, Gilmer, NC, United States"
"Delhaize Group3",19.2873672,72.8737017,"Delhaize Group, Chandan Shanti, Mira Bhayandar, Maharashtra, India"
"Delhaize Group4",50.8537047,4.3162044,"Delhaize Belgium, Rue Osseghem, Sint-Jans-Molenbeek, Belgium"
"Delhaize Group5",50.8980315,4.2502646,"Delhaize, Z.4 Broekooi, Asse, Belgium"
"Ecover1",41.6081296,2.2396577,"Ecoveritas, Lliçà d'Amunt, Spain"
"Ecover2",30.6129451,-87.743725,"Ecovery LLC, Railroad Avenue, Loxley, AL, United States"
"Ecover3",43.653226,-79.3831843,"Ecovert, Toronto, ON, Canada"
"Ecover4",8.3900193,124.8844867,"Ecoverde Homes, Manolo Fortich, Northern Mindanao, Philippines"
"Ecover5",41.4707686,-81.9924177,"Ecoverse, Lear Industrial Parkway, Avon, OH, United States"
"ETAP Lighting1",51.5105384,-0.5950406,"ETAP LIGHTING, Slough, United Kingdom"
"ETAP Lighting2",51.4835991,-0.6170365,"ETAP Lighting, Vansittart Estate, Windsor, United Kingdom"
"Godiva1",40.774734,-73.9653844,"Godiva Chocolatier - Fifth Ave, 5th Avenue, New York, NY, United States"
"Godiva2",21.2854067,39.2375507,"Godiva, King Abdulaziz Branch Road, Jeddah, Makkah Province, Saudi Arabia"
"Godiva3",24.7135517,46.6752957,"GODIVA, Takhassusi Street, Riyadh, Riyadh Province, Saudi Arabia"
"Godiva4",51.5113124,-0.1389626,"Godiva Chocolates, Regent Street, London, United Kingdom"
"Godiva5",40.7668893,-73.9790653,"Godiva Chocolatier - 7th Avenue, 7th Avenue, New York, NY, United States"
"Guylian1",-33.8597755,151.2086766,"Guylian Belgian Chocolate Café, George Street, The Rocks, New South Wales, Australia"
"Guylian2",-33.8681853,151.2070205,"Guylian's Chocolate, George Street, Sydney, New South Wales, Australia"
"Guylian3",-33.8688197,151.2092955,"Guylian Belgian Chocolate Café, Sydney, New South Wales, Australia"
"Guylian4",-33.8681853,151.2070205,"Guylian Belgian Chocolate Cafe, George Street, Sydney, New South Wales, Australia"
"Guylian5",-37.8128782,144.9653346,"Guylian Belgian Chocolate Cafe, Swanston Street, Melbourne, Victoria, Australia"
"Imperial Automobiles1",12.9715987,77.5945627,"Imperial Automobiles, Bengaluru, Karnataka, India"
"Imperial Automobiles2",23.022505,72.5713621,"Imperial Automobiles, Ahmedabad, Gujarat, India"
"Imperial Automobiles3",NA,NA,"Imperial Automobiles, Sadiqabad, Pakistan"
"Imperial Automobiles4",22.8045665,86.2028754,"Imperial Automobiles Pvt Ltd, Jamshedpur, India"
"Louis Delhaize Group1",50.8645628,4.3258474,"Louis Delhaize, R20, Koekelberg, Belgium"
"Louis Delhaize Group2",50.5176356,5.4120581,"Louis Delhaize, Route du Condroz, Nandrin, Belgium"
"Louis Delhaize Group3",51.209348,3.2246995,"louis delhaize, Bruges, Belgium"
"Louis Delhaize Group4",51.3144063,4.4309402,"Louis Delhaize, Stationsstraat, Kapellen, Belgium"
"Louis Delhaize Group5",50.9478536,4.0459704,"Louis Delhaize, Jan Bijlstraat, Aalst, Belgium"
"Ridley1",40.2426516,-74.955948,"Hunting Hill Mansion at Ridley Creek State Park, Newtown Township, PA, United States"
"Ridley2",51.5480777,-0.0719399,"Ridley Road Market Bar, Ridley Road, London, United Kingdom"
"Ridley3",39.8942844,-75.3342193,"Ridley High School, Morton Avenue, Folsom, PA, United States"
"Ridley4",43.1491654,-79.2601937,"Ridley College, Ridley Road, Saint Catharines, ON, Canada"
"Ridley5",51.5480777,-0.0719399,"Ridley Road Market Shopping Village, Ridley Road, London, United Kingdom"
"Septentrio1",50.8798438,4.7005176,"Septentrio, Leuven, Belgium"
"Septentrio2",27.3853442,-108.1164226,"Septentrion B & B, Chemin de Saint Adolphe, Morin-Heights, QC, Canada"
"Septentrio3",50.7065898,3.1131694,"Galerie Septentrion, Chemin des Coulons, Marcq-en-Barœul, France"
"Septentrio4",46.8059464,-71.2229653,"Les éditions du Septentrion, Rue Turnbull, Québec City, QC, Canada"
"Septentrio5",65.8452868,24.148381,"Septentrionalia Oy, Hallituskatu, Tornio, Finland"
"Spa1",41.9027835,12.4963655,"Spanish Steps Apartments, Rome, Metropolitan City of Rome, Italy"
"Spa2",40.8236537,-73.8491094,"Spa Castle, Queens, NY, United States"
"Spa3",32.9884936,-96.9056018,"Spa Castle, Raiford Road, Carrollton, TX, United States"
"Spa4",40.7627636,-73.9871982,"Space Ibiza New York, West 50th Street, New York, NY, United States"
"Spa5",43.045139,-73.842844,"SPAC, Avenue of the Pines, Saratoga Springs, NY, United States"
"Vanparys1",NA,NA,"VanParys Micacchi Shippey & Warnick LLP, King Street West, Ingersoll, ON, Canada"
"Vanparys2",50.9773679,2.9456829,"Vanparys Filip, Houthulst, Belgium"
"Vanparys3",50.9346855,3.1940876,"Vanparys / Roger, Vlierstraat, Kachtem, Belgium"
"Vanparys4",51.1421779,3.1368396,"Vanparys Gerard, Zedelgem, Belgium"
"Vanparys5",51.05865,3.2748,"Vanparys Jozef, Wingene, Belgium"
"Volvo Cars Ghent1",51.1411054,3.7971273,"Volvo Car Gent, John F. Kennedylaan, Ghent, Belgium"
"Volvo Cars Ghent2",50.9805224,3.5420859,"Volvo, Gentsesteenweg, Deinze, Belgium"
"Ackermans & van Haaren1",-26.1896802,28.1595071,"Ackermans Pharmacy, Rietfontein Road, Germiston, South Africa"
"Ackermans & van Haaren2",-33.9416009,18.6875596,"Ackermans Head Office, Produksie Street, Cape Town, South Africa"
"Ackermans & van Haaren3",-33.9222864,18.4231221,"ACKERMANS, Adderley Street, Cape Town, Western Cape, South Africa"
"Ackermans & van Haaren4",42.251143,-73.788719,"Ackermans Appliance, Warren Street, Hudson, NY, United States"
"Ackermans & van Haaren5",-26.1514953,27.9252547,"Ackermans - Roodepoort Checkers, 14th Avenue, Roodepoort, Gauteng, South Africa"
"AG Real Estate1",41.4607798,-81.5169875,"A G Real Estate, Green Road, Beachwood, OH, United States"
"AG Real Estate2",50.8461788,4.3691637,"AG Real Estate, Avenue des Arts, Brussels, Belgium"
