lon,lat,adr,firma,Firma-matka
51.2081358,4.3582781,"De Gerlachekaai 20, 2000 Antwerpen, Belgium",Compagnie Maritime Belge,
51.0555905,4.4568037,"Schaliënhoevedreef 20A, 2800 Mechelen, Belgium",Corsio,
NA,NA,NA,De Lijn,
NA,NA,NA,Deceuninck,
NA,NA,NA,DEME,
NA,NA,NA,D'Ieteren,
NA,NA,NA,DOMO Group,
NA,NA,NA,East-West Group,
NA,NA,NA,Gent Tram,
NA,NA,NA,GEOS constructive testing,
NA,NA,NA,Group Joos,
NA,NA,NA,Groupe Bruxelles Lambert,
NA,NA,NA,Jan De Nul,
NA,NA,NA,Jonckheere,
NA,NA,NA,Katoen Natie,
NA,NA,NA,Libeco-Lagae,
NA,NA,NA,Materialise NV,
NA,NA,NA,Namahn,
NA,NA,NA,NPM/CNP,
NA,NA,NA,Precision Dynamics Corporation,
NA,NA,NA,Ravago,
NA,NA,NA,Reynaers Aluminium,
NA,NA,NA,Saluc,
NA,NA,NA,Seyntex,
NA,NA,NA,Sioen Industries,
NA,NA,NA,Skytech,
NA,NA,NA,Solvay,
52.1266031,4.6538788,"Zuidpoolsingel 2, 2408 ZE Alphen aan Den Rijn, Netherlands",Teleroute,
NA,NA,NA,Thermote & Vanhalst,
NA,NA,NA,Tractebel,
NA,NA,NA,Truvo,
NA,NA,NA,Unibind,
NA,NA,NA,USG Innotiv ICT,
NA,NA,NA,Van Genechten Packaging,
NA,NA,NA,Van Hool,
NA,NA,NA,Vanden Geyhn et Van Aerschodt,
NA,NA,NA,Velleman,
NA,NA,NA,VinÃ§otte,
NA,NA,NA,Copiepresse,
NA,NA,NA,Larian Studios,
NA,NA,NA,Proost,
NA,NA,NA,UMedia,
NA,NA,NA,Fluxys,
NA,NA,NA,Agfa-Gevaert,
NA,NA,NA,AIM Productions,
NA,NA,NA,EVS Broadcast Equipment,
NA,NA,NA,Ferranti Computer Systems,
NA,NA,NA,IMEC,
NA,NA,NA,Materialise NV,
NA,NA,NA,Mediagenix,
NA,NA,NA,Option N.V.,
NA,NA,NA,ServersCheck,
NA,NA,NA,Zetes,
NA,NA,NA,Base,
NA,NA,NA,Belgacom,
NA,NA,NA,Proximus,
NA,NA,NA,Telenet,
NA,NA,NA,Abelag Aviation,
NA,NA,NA,Brussels Airlines,
NA,NA,NA,Jetairfly,
NA,NA,NA,Kinepolis,
NA,NA,NA,Thomas Cook Airlines Belgium,
NA,NA,NA,TNT Airways,
NA,NA,NA,VLM Airlines,
NA,NA,NA,Antwerp Water Works,
NA,NA,NA,Aquafin,
