"lon","lat","adr","firma"
NA,NA,NA,"ServersCheck"
"50.8788606","4.4159382","Rue de Strasbourg 3, 1130 Bruxelles, Belgium","Zetes"
"50.417875","4.457092","Grand'Rue 143, 6000 Charleroi, Belgium","Base"
"50.8428019","4.3548257","1000, Lebeaustraat 2, 1000 Brussel, Belgium","Belgacom"
"50.8498206","4.3506567","GrÈtrystraat 12, 1000 Brussel, Belgium","Proximus"
"51.0502512","3.7224328","Zonnestraat 1, 9000 Gent, Belgium","Telenet"
"50.894979","4.4667629","Luchthaven 28, 1930 Zaventem, Belgium","Abelag Aviation"
"50.8179712","4.3883613","Avenue des Saisons 100, 1050 Bruxelles, Belgium","Brussels Airlines"
"51.4590656","5.3922685","Luchthavenweg 25, 5657 EA Eindhoven, Netherlands","Jetairfly"
"50.895379","4.337395","Boulevard du Centenaire 20, 1020 Bruxelles, Belgium","Kinepolis"
"50.8954003","4.4604493","Building 45, Brussels National Airport, Ringlaan, 1930 Zaventem, Belgium","Thomas Cook Airlines Belgium"
"50.637737","5.452115","Rue de l'AÈroport, 4460 Gr‚ce-Hollogne, Belgium","TNT Airways"
"51.188746","4.4608734","Luchthavenlei, B-2100 Antwerpen, Belgium","VLM Airlines"
"51.2087268","4.4081516","Mechelsesteenweg 66, 2018 Antwerpen, Belgium","Antwerp Water Works"
"51.1487254","4.3941672","Dijkstraat 8, 2630 Aartselaar, Belgium","Aquafin"
